"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Indonesia","IDN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","53.9","49.3","26.3","24.5","21","12.6",
"IDA only","IDX","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.7619047619048","55.2553191489362","57.0673076923077","54.1037735849057","49.0849056603774","44.2735849056604","41.787037037037","39.1574074074074","30.8796296296296","30.1785714285714","26.4350877192982","24.5","25.0862068965517","24.551724137931","24","24.1034482758621","23.3844827586207",
"Isle of Man","IMN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.7","35","30","28.5","29.8","16.5","17.5",
"Not classified","INX","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","24","24","19","19","19","19","19","19","16","16","12","12","11","11","11","11",
"Iran, Islamic Rep.","IRN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.5","81.5","80.5","80.5","80.5","80.5","62.5","64.5","64.5","73.5","73.5","72.5","72.5","72.5","72.5","72.5","72.5",
"Iraq","IRQ","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.5","30.5","29.5","30.5","30.5","30.5","30.5","30.5","27.5","27.5","27.5","34.5","34.5","26.5","26.5","26.5",
"Iceland","ISL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","4.5","4.5","4.5","12","12","11.5","11.5","11.5","11.5",
"Israel","ISR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","18","18","18","18","18","18","19","12","12","12","11","11","11","11",
"Italy","ITA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","15","15","15","15","12","12.5","12.5","12.5","12.5","12.5","11.5","11","11","11","11","11",
"Jamaica","JAM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","8","8","8","8","8","8","7","7","6","15","3","10","3","3","3",
"Jordan","JOR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.5","26.5","16.5","16.5","13.5","13.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5",
"Japan","JPN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6","11.1","11.2","11.1","11.1","11.1","11.2",
"Kazakhstan","KAZ","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","32","31","27","27","27","26","25","25","25","18","16","11","9","9","5","5",
"Kenya","KEN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","47","55","55","45","33","33","33","35","34","34","32","28","22","23","23","23",
"Kyrgyz Republic","KGZ","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","21","21","21","21","19","15","14","14","14","10","10","10","10","10","10","10",
"Cambodia","KHM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","95","87","86","86","102","102","102","102","102","101","101","87","99","99","99","99",
"Kiribati","KIR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","30.6",
"St. Kitts and Nevis","KNA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","19","19","19","19","19","19","19","18.5","18.5","18.5","18.5","18.5","18.5","18.5",
"Korea, Rep.","KOR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","17","17","17","17","17","14","14","9","8","8","8","8","8","8","8","8",
"Kuwait","KWT","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","32.4","32.4","32.4","31.4","31.4","61.4","38.4","35.4","19.4",
"Latin America & Caribbean (excluding high income)","LAC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.6666666666667","77.375","88.0909090909091","84.5","77.6590909090909","76.7954545454545","73.5454545454545","69.5909090909091","69.0909090909091","68.5","43.0416666666667","37.3333333333333","38.3916666666667","39.4958333333333","39.1625","34.8541666666667","34.5708333333333",
"Lao PDR","LAO","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","135","135","116","86","86","86","86","78","88","88","88","187","174","174","174","173",
"Lebanon","LBN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","53","53","53","53","18","15","15","15","15","15","15","15","15","15","15","15",
"Liberia","LBR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","69","33","21","21","7","7","6","6","6","6","6","18","18",
"Libya","LBY","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","35","35","35","35","35",
"St. Lucia","LCA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","20","20","20","14","14","11","11","11","11","11","11","11","11","11",
"Latin America & Caribbean","LCN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3157894736842","67.5","74.7931034482759","70.6551724137931","64.3","63.4666666666667","61.7833333333333","58.4","53.9516129032258","53.4354838709677","35.6515151515151","30.8030303030303","31.7242424242424","32.1787878787879","31.9363636363636","28.7575757575758","28.0969696969697",
"Least developed countries: UN classification","LDC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.328125","66.0675675675676","67.1219512195122","63.4285714285714","58.3809523809524","52.8571428571429","51.1190476190476","46.5238095238095","36.0714285714286","35.125","31.1622222222222","27.7777777777778","28.1847826086957","27.3152173913043","26.8260869565217","27","26.2086956521739",
"Low income","LIC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.0454545454545","54.8541666666667","61.9259259259259","58.3571428571429","53.3928571428571","49.3571428571429","45.9285714285714","39.7142857142857","31.1428571428571","29.8275862068966","25.6896551724138","24.4827586206897","24.8833333333333","24.6166666666667","23.7","24.0333333333333","23.4666666666667",
"Liechtenstein","LIE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","46",
"Sri Lanka","LKA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","46","46","46","42","44","44","38","35","11","11","11","10","9","9","9","8",
"Lower middle income","LMC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.0606060606061","58.8108108108108","54.0243902439024","52.2926829268293","47.2073170731707","45.5121951219512","44.3170731707317","42.9268292682927","37.5853658536585","37.0357142857143","33.9212765957447","29.2382978723404","28.0553191489362","26.5893617021277","25.8127659574468","23.9553191489362","22.7212765957447",
"Low & middle income","LMY","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.6032608695652","55.480198019802","59.9310344827586","56.5423728813559","51.9703389830508","48.5084745762712","45.5504201680672","43.4327731092437","38.8613445378151","37.9754098360656","31.4679389312977","28.4656488549618","28.2621212121212","27.7356060606061","25.8606060606061","24.3712121212121","23.4886363636364",
"Lesotho","LSO","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138","138","103","73","73","39","39","39","39","29","29","29","29","29","29","29","15",
"Late-demographic dividend","LTE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.8030303030303","38.9444444444444","34.7525","33.2023809523809","29.6295454545455","25.1711111111111","23.56","22.4488888888889","19.6466666666667","18.58","18.99375","18.2625","15.5270833333333","15.74375","14.3270833333333","12.3208333333333","11.2708333333333",
"Lithuania","LTU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","26","26","26","26","26","26","22","22","19.5","8.5","5.5","5.5","5.5","5.5","5.5","5.5",
"Luxembourg","LUX","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","24","24","22","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5",
"Latvia","LVA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","16","16","16","16","15.5","15.5","15.5","15.5","15.5","12.5","12.5","5.5","5.5","5.5","5.5","5.5",
"Macao SAR, China","MAC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","12","12","12","12","12","12","12","12","12","11.5","11.5","10.5","10","9","9","9",
"Monaco","MCO","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","32","30","31","23","16","10","10","9","9","7","7","6","6","5","4","4",
"Madagascar","MDG","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","47","42","20","12","12","12","12","12","12","12","12","13","12","8","8","8",
"Maldives","MDV","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","9","9","9","12","12","12","12","12","12","12","12","12","12","12",
"Middle East & North Africa","MEA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4142857142857","40.925","38.9941176470588","37.6941176470588","32.8105263157895","24.4421052631579","22.9105263157895","23.0421052631579","23.26","24.4857142857143","23.1047619047619","22.347619047619","22.4","23.4190476190476","21.2047619047619","20.3714285714286","19.5190476190476",
"Mexico","MEX","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4","8.4","8.4","8.4","8.4","8.4","8.4",
"Marshall Islands","MHL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17",
"Middle income","MIC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.2071428571429","55.6753246753247","59.3258426966292","55.9777777777778","51.5277777777778","48.2444444444444","45.4340659340659","44.5769230769231","41.2362637362637","40.5161290322581","33.1107843137255","29.5980392156863","29.2558823529412","28.6529411764706","26.4960784313726","24.4705882352941","23.4950980392157",
"North Macedonia","MKD","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","60","31","28","22","17","16","16","15","15","15","15","15","15","15","15",
"Mali","MLI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","33","27","42","25","25","8","8","8","8","11","11","8.5","8.5","11","11","11",
"Malta","MLT","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5","38.5","38.5","33.5","28","26","16","16","20.5",
"Myanmar","MMR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","77","77","16","14","14","14","7",
"Middle East & North Africa (excluding high income)","MNA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.5","42.2272727272727","39.9583333333333","39.625","38.875","27.7083333333333","25.7083333333333","25.7083333333333","25.625","27.9615384615385","26.2307692307692","25.4615384615385","26.0769230769231","26.1923076923077","25.5","24.8076923076923","24.8846153846154",
"Montenegro","MNE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","26","23","14","12","12","12","12","12","12","12","12","12","12",
"Mongolia","MNG","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","17","17","17","17","17","17","17","17","16","16","16","12","12","12","12","12",
"Northern Mariana Islands","MNP","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177","179","179","117","32","34","34","21","21","21","21","21","21","21","17","17","17",
"Mauritania","MRT","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","82","82","82","50","19","19","19","19","19","19","8","8","8","6","6","6",
"Mauritius","MUS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.5","46.5","46.5","7.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","5.5","5","4.5",
"Malawi","MWI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","37","37","37","37","37","36","36","36","37","40","38","38","37","37","37","37",
"Malaysia","MYS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.5","37.5","37.5","37.5","31.5","20.5","18.5","17.5","8.5","9.5","9.5","7.5","7.5","23.5","23.5","13.5","17.5",
"North America","NAC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","3.5","3.5","5.5","5.5","5.5","5.5","5.5","5.85","5.55","3.55","3.55","3.55","3.55","2.85",
"Namibia","NAM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","85","95","95","99","66","66","66","66","66","66","66","66","66","54","54","54",
"New Caledonia","NCL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","32","24","20","18","18","18","18","18","16","16","11","8","10","10",
"Nigeria","NGA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3","30.3","30.3","24.9","18.9","10.9","7.2",
"Nicaragua","NIC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","40","40","40","39","39","39","39","39","39","37","14","14","14","14","14","14",
"Netherlands","NLD","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","8","8","8","8","8","8","5","4","3.5","3.5","3.5","3.5","3.5","3.5",
"Norway","NOR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","18","8","7","8","6","6","6","6","6","6","5","4","4","4","4","4",
"Nepal","NPL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","31","31","31","31","31","29","29","17","17","17","17","18.5","18.5","22.5",
"Nauru","NRU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"New Zealand","NZL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","12","12","12","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5",
"OECD members","OED","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.0483870967742","31.96875","25.109375","22.469696969697","19.8030303030303","16.9848484848485","16.1060606060606","15.3333333333333","13.3636363636364","13.1363636363636","12.1305555555556","10.9888888888889","10.1305555555556","9.725","9.725","9.65555555555556","9.09166666666667",
"Oman","OMN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4","36.4","36.4","43.4","40.4","15.4","13.4","13.4","9.3","9.3","9.3","9.3","9.3","7.3","4.3","4.3","4.3",
"Other small states","OSS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","85.45","79.7894736842105","76.4523809523809","66.9826086956522","59.3166666666667","55.4791666666667","52.6666666666667","36.08","35.6923076923077","33.6153846153846","29.5961538461538","24.9076923076923","24.6538461538462","18.5384615384615","18.1346153846154","15.5769230769231",
"Pakistan","PAK","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","20","19.5","16.5","16.5",
"Panama","PAN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","18","18","12","12","9","8","7","6","6","6","6","6","6","6",
"Peru","PER","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.5","100.5","104.5","74.5","74.5","67","41","42.5","41.5","41.5","41.5","41.5","41.5","41","41","26","26",
"Philippines","PHL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","37","35","35","35","34","34","29","28","28","28","26","25","25","39","34","33",
"Palau","PLW","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","24","24","28","28","28","28","28","28","28","28","28","28","28","28","28","28",
"Papua New Guinea","PNG","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","52","52","52","52","52","52","52","52","52","53","53","53","41","41","41","41",
"Poland","POL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","63","52","45","45","45","39","39","39","39","37","37","37","37","37","37","37",
"Pre-demographic dividend","PRE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.3958333333333","55.3448275862069","62.469696969697","60.0441176470588","54.5441176470588","52.5294117647059","50.5","46.9705882352941","38.4705882352941","36.1571428571429","31.1055555555556","26.05","26.1702702702703","25.3486486486486","21.3486486486486","21.2405405405405","20.6540540540541",
"Puerto Rico","PRI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","7","7","7","7","7","6","6","6","6","6","5.5","5.5","5.5","5.5",
"Korea, Dem. People’s Rep.","PRK","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","78","48","9","8","7","7","7","7","7","6","6","6","6","6.5","6.5","6.5",
"Paraguay","PRY","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","72","72","72","34","35","35","35","35","35","35","35","35","35","35","35","35",
"West Bank and Gaza","PSE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5","74.5","74.5","73.5","63.5","63.5","63.5","62.5","49.5","47.5","43.5","43.5","43.5","43.5","43.5","43.5",
"Pacific island small states","PSS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4444444444444","32.7777777777778","33.4444444444444","33.8888888888889","33.8888888888889","33.1111111111111","30.2222222222222","30.2222222222222","26.1111111111111","23.8888888888889","24.3333333333333","24.3333333333333","24.3333333333333","20.4444444444444","20.4444444444444","20.4444444444444","20.3666666666667",
"Post-demographic dividend","PST","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5833333333333","32.5166666666667","28.4838709677419","25.5","22.6875","20.203125","17.734375","17.296875","15.9264705882353","15.75","14.8694444444444","13.7555555555556","12.4666666666667","11.8666666666667","11.5888888888889","11.6166666666667","11.1916666666667",
"French Polynesia","PYF","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","8.2","8.2","10.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","8.7","8.7",
"Romania","ROU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","28","11","11","8","8","8","8","12","8","8","8","8","12","12","35","20",
"Russian Federation","RUS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2","11.5","10.8","10.1","10.1","10.1","10.1",
"Rwanda","RWA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","16","16","14","7","7","7","8","7","7","6","4","4","4","4",
"South Asia","SAS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.5","31.5","31.5","31.5","28.1","28.1","28.5","27.3","24.1","19.3","18.875","17.25","16.5","16.1875","16.1","14.0625","14.5625",
"Saudi Arabia","SAU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.3","81.3","74.3","49.3","27.3","27.3","27.3","27.3","27.3","24.3","24.8","24.8","23.3","19.3","17.8","17.8","10.4",
"Sudan","SDN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5","38.5","38.5","38.5","38.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","34.5","34.5",
"Senegal","SEN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","57","57","57","58","9","9","9","6","6","6","6","6","6","6","6","6",
"Singapore","SGP","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","6","6","5","3.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","1.5","1.5",
"Solomon Islands","SLB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","55","55","55","55","55","55","55","41","7","9","9","9","9","9","9","9",
"Sierra Leone","SLE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","26","26","26","26","17","12","12","12","12","12","12","10","8","8","8","8",
"El Salvador","SLV","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115","115","40","36","19.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5",
"San Marino","SMR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","41","36","12.5","12.5","12.5","12.5","11.5",
